????/s,??????????????????/V,????????/rad,,????????/Hz,????????
0.0244,60.62721683,-0.149593435,,,
0.0245,60.62891989,-0.153376644,,,
0.0246,60.6303869,-0.156773902,,,
0.0247,60.63187694,-0.15919499,,,
0.0248,60.63364929,-0.160311536,,,
0.0249,60.63582315,-0.160213202,,,
0.025,60.63832766,-0.159346089,,,
0.0251,60.64096118,-0.158281369,,,
0.0252,60.64350801,-0.157457908,,,
0.0253,60.64583415,-0.157044047,,,
0.0254,60.64790931,-0.1569776,,,
0.0255,60.64975907,-0.157129855,,,
0.0256,60.65139672,-0.157470314,,,
0.0257,60.65278903,-0.158122331,,,
0.0258,60.65387573,-0.159280981,,,
0.0259,60.65461885,-0.16105747,,,
0.026,60.65503727,-0.163359397,,,
0.0261,60.65519769,-0.165888427,,,
0.0262,60.65516985,-0.168259524,,,
0.0263,60.65498217,-0.170170083,,,
0.0264,60.65461169,-0.171519419,,,
0.0265,60.65401346,-0.172414221,,,
0.0266,60.65316187,-0.173068449,,,
0.0267,60.65206794,-0.173668202,,,
0.0268,60.65075739,-0.174284445,,,
0.0269,60.64922918,-0.174876279,,,
0.027,60.64743328,-0.175365638,,,
0.0271,60.64529451,-0.175722147,,,
0.0272,60.6427726,-0.17599875,,,
0.0273,60.63991616,-0.176299066,,,
0.0274,60.63686551,-0.17670616,,,
0.0275,60.63379225,-0.177226213,,,
0.0276,60.63080992,-0.177786031,,,
0.0277,60.62791362,-0.178283897,,,
0.0278,60.62499811,-0.178657423,,,
0.0279,60.6219376,-0.178923222,,,
0.028,60.61868366,-0.179165171,,,
0.0281,60.61531096,-0.17948365,,,
0.0282,60.61197827,-0.179941962,,,
0.0283,60.60883144,-0.18054306,,,
0.0284,60.60591603,-0.181245053,,,
0.0285,60.60316198,-0.181997332,,,
0.0286,60.60045177,-0.18276895,,,
0.0287,60.59772256,-0.183552036,,,
0.0288,60.59502547,-0.184344932,,,
0.0289,60.59249295,-0.185134839,,,
0.029,60.59023054,-0.185897212,,,
0.0291,60.58820672,-0.186612597,,,
0.0292,60.58622236,-0.187285461,,,
0.0293,60.58399063,-0.187947191,,,
0.0294,60.58128297,-0.188638663,,,
0.0295,60.57804845,-0.189385478,,,
0.0296,60.57442773,-0.190185805,,,
0.0297,60.57065394,-0.191020334,,,
0.0298,60.56691232,-0.1918746,,,
0.0299,60.56324909,-0.192752164,,,
0.03,60.55960308,-0.193663843,,,
0.0301,60.55593095,-0.194599344,,,
0.0302,60.55233367,-0.195506529,,,
0.0303,60.54908395,-0.196302827,,,
0.0304,60.54651985,-0.196920236,,,
0.0305,60.54486432,-0.197355859,,,
0.0306,60.54408925,-0.197687455,,,
0.0307,60.54392145,-0.198031416,,,
0.0308,60.5439983,-0.198460738,,,
0.0309,60.54408016,-0.198935526,,,
0.031,60.54418375,-0.199299644,,,
0.0311,60.54454786,-0.199357587,,,
0.0312,60.54545147,-0.198990139,,,
0.0313,60.54700335,-0.198235147,,,
0.0314,60.54904363,-0.197275997,,,
0.0315,60.55122547,-0.196338579,,,
0.0316,60.55322497,-0.195561492,,,
0.0317,60.55493948,-0.194928763,,,
0.0318,60.55653854,-0.194316721,,,
0.0319,60.5583276,-0.193628092,,,
0.032,60.56051106,-0.192920868,,,
0.0321,60.56301169,-0.192434644,,,
0.0322,60.56547193,-0.192480585,,,
0.0323,60.56744586,-0.193254329,,,
0.0324,60.56866559,-0.19469161,,,
0.0325,60.56921362,-0.196468675,,,
0.0326,60.56949007,-0.198160276,,,
0.0327,60.56999317,-0.199465475,,,
0.0328,60.5710501,-0.200364609,,,
0.0329,60.57266444,-0.201110877,,,
0.033,60.57456923,-0.202062448,,,
0.0331,60.5764416,-0.203461333,,,
0.0332,60.5781367,-0.205298554,,,
0.0333,60.57978515,-0.20734784,,,
0.0334,60.58169752,-0.209338875,,,
0.0335,60.5841452,-0.211149967,,,
0.0336,60.58716482,-0.212888635,,,
0.0337,60.59051603,-0.214803664,,,
0.0338,60.59382001,-0.217084469,,,
0.0339,60.59678869,-0.219679981,,,
0.034,60.59939824,-0.222259783,,,
0.0341,60.60189936,-0.224350904,,,
0.0342,60.60466309,-0.225572624,,,
0.0343,60.60796306,-0.22582999,,,
0.0344,60.61182852,-0.225352645,,,
0.0345,60.61604941,-0.224561134,,,
0.0346,60.62031492,-0.223847107,,,
0.0347,60.62438704,-0.223401053,,,
0.0348,60.62819892,-0.223183401,,,
0.0349,60.63182665,-0.223039549,,,
0.035,60.63537397,-0.2228695,,,
0.0351,60.63885389,-0.222734575,,,
0.0352,60.64214968,-0.222831907,,,
0.0353,60.64507646,-0.223357993,,,
0.0354,60.64749146,-0.224355504,,,
0.0355,60.64937591,-0.225646798,,,
0.0356,60.65083713,-0.226900316,,,
0.0357,60.65203705,-0.227791589,,,
0.0358,60.65310079,-0.228162551,,,
0.0359,60.65406486,-0.228086431,,,
0.036,60.65488941,-0.227806349,,,
0.0361,60.65551214,-0.227593279,,,
0.0362,60.65589776,-0.227613135,,,
0.0363,60.65604951,-0.227877814,,,
0.0364,60.65598466,-0.228295678,,,
0.0365,60.65570514,-0.228774126,,,
0.0366,60.65519455,-0.22929997,,,
0.0367,60.65444592,-0.229946,,,
0.0368,60.6534945,-0.230806103,,,
0.0369,60.65242142,-0.231909255,,,
0.037,60.65131568,-0.233173777,,,
0.0371,60.6502166,-0.234433325,,,
0.0372,60.64907924,-0.235517701,,,
0.0373,60.64779312,-0.236336974,,,
0.0374,60.64624708,-0.236917803,,,
0.0375,60.64439753,-0.237373958,,,
0.0376,60.64229138,-0.237835277,,,
0.0377,60.64002564,-0.238381983,,,
0.0378,60.6376718,-0.239021613,,,
0.0379,60.63522116,-0.239713614,,,
0.038,60.63259412,-0.240415814,,,
