1PV_P_Bus1,2PV_P_Bus2,3PV_P_Bus3,1PV_Q_Bus1,2PV_Q_Bus2,3PV_Q_Bus3,1Line_Ps_FB1_TB2,2Line_Ps_FB1_TB3,3Line_Ps_FB2_TB4,4Line_Ps_FB3_TB4,1Line_Qs_FB1_TB2,2Line_Qs_FB1_TB3,3Line_Qs_FB2_TB4,4Line_Qs_FB3_TB4,Vm_Bus1,Vm_Bus2,Vm_Bus3,Vm_Bus4,Va_Bus1,Va_Bus2,Va_Bus3,Va_Bus4,1PV_Pmax_Bus1,2PV_Pmax_Bus2,3PV_Pmax_Bus3,Margin
86.772,29.149,88.893,-87.751,138.67,42.765,45.924,20.074,5.389,27.337,-69.825,-23.77,32.834,-22.143,0.97654,1.0074,0.98404,0.99481,0,-0.030703,-0.0096135,-0.030262,357.25,226.78,330.4,3.4579
30.658,123.18,93.879,-41.783,16.763,142.66,-6.4923,12.29,32.585,7.087,9.7814,-58.69,-17.033,31.965,0.99108,0.98674,1.012,0.9907,0,0.0043564,-0.0089181,-0.0093412,362.73,360.18,343.37,3.2916
53.268,106.27,54.212,165.55,84.478,-146.26,-0.45041,31.714,33.764,0.36248,9.2288,148.18,57.689,-45.39,1.0283,1.0238,0.9707,1.0001,0,0.0011015,-0.00075823,-0.0069674,207.13,278.6,307.76,2.735
20.52,34.147,147.6,-114.7,33.705,173.94,28.803,-28.858,-5.4644,37.789,-19.989,-100.76,-20.312,30.845,0.97762,0.98495,1.0174,0.99301,0,-0.017173,0.0032446,-0.016642,448.03,267.61,305.55,4.0365
67.212,55.248,90.274,3.683,-7.3037,99.148,29.449,16.411,12.418,21.646,27.072,-28.189,-16.636,28.026,1.0008,0.98402,1.01,0.98937,0,-0.012292,-0.008117,-0.01831,539.38,240.27,361.68,4.3246
96.098,101.71,91.414,-190.69,172.51,167.44,26.892,39.496,30.427,15.572,-97.593,-106.87,20.81,-2.654,0.97982,1.0263,1.0168,1.0165,0,-0.023287,-0.022742,-0.032651,436.55,370.19,383.93,3.1147
115.74,166.25,8.0304,-6.5151,112.61,39.594,-3.2398,89.745,64.559,-18.119,-28.889,11.877,30.944,-11.563,1.006,1.0207,0.99485,1.0045,0,-0.0012533,-0.032479,-0.022428,451.73,316.26,307.24,2.6963
99.078,16.181,165.62,-145.82,144.11,145.27,70.906,-0.51216,-8.2878,53.103,-74.059,-83.985,17.675,0.3983,0.98577,1.016,1.017,1.0101,0,-0.043165,-0.0060515,-0.038877,319.72,275.16,275.49,2.1025
110.15,119.7,69.683,-25.53,-11.03,189.96,21.619,58.309,39.754,8.2273,35.203,-72.301,-30.859,51.643,0.99732,0.97709,1.0197,0.98579,0,-0.0075297,-0.026627,-0.02527,368.11,355.71,335.26,2.5322
130.15,132.3,81.012,91.3,41.289,47.022,28.863,66.682,44.498,10.415,36.01,41.16,12.851,11.876,1.0003,0.97899,0.97982,0.97068,0,-0.011137,-0.02218,-0.027549,335.17,299.28,191.07,1.3975
46.448,164.06,213.41,138.71,44.264,46.976,13.082,-9.2567,33.116,34.711,54.714,64.964,17.414,15.626,1.0033,0.97395,0.97954,0.96471,0,-0.0010881,0.0084293,-0.012818,537.06,386.73,341.61,1.9676
17.358,103.94,113.18,-167.6,105.1,175.09,-1.8531,-4.773,22.627,14.702,-64.679,-111.79,-0.78079,13.546,0.97988,1.0129,1.0218,1.0115,0,-0.005645,-0.0065456,-0.013917,196.27,293.83,394.16,2.7787
158.23,5.462,94.563,-173.75,224.1,85.309,84.19,47.16,1.7301,39.321,-124.42,-63.121,48.998,-32.884,0.97423,1.0285,0.99455,1.0105,0,-0.054918,-0.022961,-0.052025,547.78,106.26,268.42,2.5594
25.082,226.02,228.88,-85.338,72.514,280.08,-12.766,-10.461,50.51,26.381,2.7428,-111.39,-17.545,56.734,0.97572,0.97562,1.0181,0.97846,0,0.0070494,-0.0044373,-0.014004,392.98,383.5,337.82,1.3137
114.47,15.381,172.55,125.31,15.722,15.809,80.143,3.6456,-7.2016,55.541,51.264,61.386,10.086,10.947,1.0139,0.97976,0.99079,0.97647,0,-0.03545,0.0032031,-0.031865,473.55,273.09,365.6,2.6705
71.007,63.15,33.976,-79.542,50.738,95.48,16.468,37.563,22.544,4.3071,-27.047,-54.745,-2.7632,8.9158,1.0035,1.0154,1.0209,1.0147,0,-0.010828,-0.017622,-0.019167,276.77,188.55,240.04,3.1881
97.57,219.39,149.64,59.794,143.16,52.148,2.9229,47.895,63.718,11.047,-7.9486,46.922,44.856,-7.3955,0.99923,1.003,0.97794,0.98132,0,-0.0022713,-0.014655,-0.022959,474.69,330.31,397.2,1.5628
31.857,56.419,85.89,-40.534,107.01,6.0331,13.862,0.49291,11.048,16.84,-47.91,4.67,30.498,-22.786,0.97747,1.0005,0.97565,0.98828,0,-0.012094,0.00017259,-0.013952,412.47,388.32,296.29,5.2758
165.77,53.458,183.2,-144.26,160.25,205.47,90.215,34.524,7.0663,57.143,-66.026,-99.192,15.81,14.489,0.98727,1.0115,1.0215,1.0052,0,-0.05223,-0.020063,-0.053657,362.92,382.85,312.07,1.6296
209.27,112.18,90.97,-86.34,123.71,189.53,69.827,97.522,42.092,23.707,-34.112,-73.3,9.9381,21.409,0.97953,0.98987,0.99978,0.98293,0,-0.039859,-0.042632,-0.055191,361.39,289.43,296.24,1.2947
38.959,51.191,74.153,-103.21,16.54,154.28,15.4,6.8712,10.981,15.262,-13.708,-92.548,-23.085,29.54,0.98044,0.98591,1.0145,0.99377,0,-0.0094621,-0.0095024,-0.015387,254.75,325.33,230.56,3.9372
232.75,259.12,44.516,-64.584,113.69,262.1,21.995,156.22,99.551,-13.765,-7.4353,-87.82,0.45749,45.238,0.9752,0.97677,0.99658,0.96897,0,-0.012426,-0.066573,-0.051525,429.74,389.65,355.16,1.1903
86.53,166.58,54.088,1.4724,78.284,75.398,-5.678,61.398,56.513,-7.3159,-6.4301,-2.9893,15.431,5.6524,0.99128,0.99513,0.98778,0.98507,0,0.002242,-0.023554,-0.018031,425.18,369.35,333.02,2.6558
106.32,172.61,130.98,132.94,97.774,-10.421,17.277,47.746,50.731,14.841,22.458,92.317,42.423,-11.222,1.0296,1.0168,0.99208,0.99738,0,-0.0061484,-0.010654,-0.02164,295.37,376.59,367.06,1.5329
126.78,33.798,48.493,192.34,-33.208,-57.793,51.917,53.181,14.861,18.301,77.595,105.93,7.1828,3.8783,1.0162,0.97151,0.97257,0.96761,0,-0.018559,-0.01203,-0.02387,528.22,149.25,255.99,3.4561
13.146,247.29,73.354,161.23,69.014,-52.246,-58.518,37.749,75.513,-22.128,34.141,111.91,39.911,-15.415,1.0193,1.0081,0.97467,0.98759,0,0.032061,-0.0057413,0.0068321,277.02,356.82,267.77,1.7071
80.655,143.42,96.368,19.884,66.987,75.961,8.4007,40.174,42.892,8.4173,5.0535,3.3843,12.866,9.4935,0.98694,0.98349,0.98262,0.97533,0,-0.0038354,-0.01515,-0.01947,451.85,337.96,364.3,2.5818
230.68,12.342,208.87,-33.288,114.76,175.6,135.92,48.732,-5.2814,77.517,-11.656,-46.536,12.171,24.73,0.98163,0.9736,0.99549,0.96934,0,-0.072969,-0.0221,-0.069927,510.11,120.16,319.47,1.0919
106.71,180.81,32.971,-11.246,143.23,32.531,-6.0573,80.498,65.884,-14.541,-41.962,18.441,41.818,-19.322,1.0086,1.03,0.99574,1.0099,0,-0.0011438,-0.028452,-0.021711,555.25,337.19,363.22,2.8971
56.936,156.36,176.13,-97.449,142.75,159.33,11.666,6.1261,35.696,26.597,-49.901,-63.722,19.373,8.9662,1.0047,1.0284,1.0276,1.0187,0,-0.010571,-0.0068054,-0.021868,506.84,301.35,389.65,2.0556
43.412,56.137,59.008,16.522,52.419,-8.8416,12.893,14.634,15.142,10.237,-10.068,25.667,17.973,-12.403,1.008,1.0117,0.99735,1.004,0,-0.007369,-0.0035127,-0.011596,559.12,187.46,254.82,5.252
285.86,89.759,133.66,-51.1,227.01,117.1,119.17,114.65,35.866,45.362,-68.404,-12.397,55.506,-13.92,0.99042,1.0129,0.98645,0.98958,0,-0.066805,-0.044613,-0.075989,488.22,213.59,248.41,0.86077
59.236,235.2,78.863,86.259,10.987,102,-34.131,55.821,74.152,-14.33,56.19,14.236,-4.6094,33.071,1.0062,0.98105,0.99671,0.97717,0,0.02318,-0.019649,-0.0059553,591.85,370.65,366.21,2.5389
94.43,78.276,224.64,21.496,133.68,59.072,63.064,-8.5146,6.3226,57.364,-19.475,23.786,37.929,-6.9212,0.98058,0.98411,0.97216,0.96916,0,-0.03498,0.0051816,-0.034483,493.81,253.82,332.03,1.7012
85.521,201.27,137.31,27.768,158.15,40.828,1.1864,41.845,58.278,9.6849,-28.3,38.341,48.806,-16.12,1.016,1.0299,0.99878,1.0078,0,-0.0033044,-0.012524,-0.020687,328.44,372.47,293.58,1.3392
224.68,181.74,68.862,18.423,157.19,88.045,50.027,126.58,70.453,5.5219,-23.108,17.819,41.773,-4.0469,1.0196,1.0261,1.0037,1.0056,0,-0.026334,-0.044729,-0.04872,451.28,382.78,225.85,1.224
24.531,136.6,264.28,-18.849,142,106.67,23.75,-41.828,15.845,52.332,-28.496,-8.7066,32.115,1.2873,0.97717,0.98937,0.98366,0.976,0,-0.01536,0.015513,-0.018985,428.93,262.37,368.1,1.477
51.362,33.685,76.39,-67.549,104.52,25.7,27.075,8.0054,5.8465,19.971,-54.008,-15.246,24.95,-19.248,1.004,1.0281,1.009,1.0186,0,-0.018508,-0.004061,-0.018809,413.68,295,389.63,5.7819
130.56,21.513,136.71,-91.756,181.23,60.299,76.901,24.279,0.14882,46.008,-81.431,-22.857,44.61,-24.924,0.97234,1.0061,0.97922,0.98942,0,-0.048046,-0.011274,-0.044763,294.43,242.39,346.48,2.0627
134.28,31.801,111.71,-192.85,170.41,166.92,68.86,36.69,6.3723,37.755,-98.053,-108.92,19.848,-2.6578,0.98028,1.0228,1.0181,1.0151,0,-0.044509,-0.021807,-0.045368,363.13,173.18,325.88,2.1056
147.83,179.14,25.841,158.42,23.174,8.8032,8.6118,103.3,68.129,-11.807,60.286,81.16,16.477,9.5891,1.0143,0.98295,0.97621,0.97147,0,0.0017579,-0.032706,-0.023498,593.73,347.19,360.88,2.6761
85.645,51.082,71.633,-15.269,61.089,45.348,34.652,30.081,14.903,18.425,-14.268,-5.2478,11.742,-1.3508,1.0083,1.012,1.008,1.0066,0,-0.018528,-0.011394,-0.023111,501.57,337.87,344.91,4.6495
132.5,179.02,130.66,-26.628,184.76,81.944,26.464,61.618,55.141,15.663,-50.649,4.2008,48.53,-13.917,0.99754,1.0203,0.99135,0.99827,0,-0.018135,-0.022863,-0.034724,492.28,315.08,332.3,1.5629
151.18,30.79,298.88,-100.41,271.15,107.38,117.5,-15.269,-15.229,92.291,-103.69,-23.838,68.868,-27.822,0.97667,1.0173,0.98687,0.99291,0,-0.0702,0.0040501,-0.059512,449.28,177.81,399.88,1.1319
140.5,145.37,72.569,101,60.669,28.536,27.191,77.139,50.87,6.427,29.527,55.924,22.558,3.8519,0.99726,0.97938,0.97024,0.96685,0,-0.010975,-0.025352,-0.029184,417.42,369.44,394.31,2.2871
91.13,148.91,153.38,106.44,118.69,-15.186,23.662,27.901,39,23.98,3.9352,85.689,48.274,-18.469,1.0173,1.013,0.98333,0.99217,0,-0.011185,-0.0039927,-0.022041,552.65,258.22,274.09,1.7379
152.53,289.48,106.81,146.88,184.17,-16.252,-6.2705,103.3,97.102,-9.178,-1.5004,119.17,74.276,-27.256,1.0253,1.0267,0.97317,0.99208,0,0.0028579,-0.029615,-0.027176,561,397.47,233.03,1.1614
223.15,63.377,113.85,-43.671,64.403,198.8,95.517,86.906,23.052,40.867,4.8195,-68.701,-8.2314,38.583,1.0011,0.98893,1.02,0.99029,0,-0.048149,-0.03668,-0.057531,483.15,232.11,307.83,1.5476
51.564,130.58,103.07,10.227,-10.228,141.14,1.6358,21.321,35.32,10.387,39.842,-38.969,-22.215,41.115,1.0056,0.98521,1.0184,0.99092,0,0.0032321,-0.01058,-0.011922,242.44,272.48,310.78,1.8924
151.19,71.579,232.79,-99.817,122.36,232.54,88.935,16.124,5.9538,66.923,-29.468,-93.76,3.6932,33.037,0.97475,0.98079,1.0088,0.97893,0,-0.050016,-0.013205,-0.052036,306.88,243.52,385.45,1.0535
78.586,79.095,37.444,13.294,25.802,42.872,15.294,43.719,28.082,3.1335,8.308,1.8733,2.1701,6.7163,1.0234,1.0178,1.0195,1.0149,0,-0.0065937,-0.015453,-0.01655,543.13,291.21,331.34,4.9303
87.788,226.58,205.72,12.04,109.47,164.98,8.3793,27.406,58.171,25.182,7.7916,-19.199,15.971,26.561,1,0.99521,1.0051,0.98482,0,-0.0034518,-0.011566,-0.024317,530.07,375.09,323.66,1.346
29.959,53.536,78.553,41.68,-39.331,62.315,12.204,1.4747,10.644,15.304,45.106,-5.1973,-20.301,26.821,0.9967,0.97229,0.99853,0.97923,0,-0.0016424,-0.00094027,-0.0073895,528.4,176.95,297.48,5.1385
11.53,64.618,142.23,-135.76,114.64,122.56,14.49,-25.169,4.9921,29.837,-65.281,-77.443,11.415,0.026556,0.97875,1.0104,1.0097,1.0059,0,-0.014055,0.0036351,-0.015045,420.67,219.65,320.78,3.3846
97.022,138.51,16.34,94.372,20.944,6.4671,-0.93924,72.516,52.084,-11.818,34.948,51.22,11.219,4.1496,1.0162,0.99877,0.99182,0.99067,0,0.0039462,-0.022979,-0.014791,450.69,251.18,283.23,2.8979
217.51,63.307,168.88,-42.974,143.93,149.84,106.05,65.863,16.537,55.308,-30.451,-35.716,24.596,11.056,0.98397,0.98871,0.99247,0.97814,0,-0.058132,-0.027816,-0.062598,544.56,370.56,377.23,1.8632
346.48,36.493,82.736,-48.655,149.72,170.62,148.72,149.52,27.217,46.752,-32.602,-46.513,22.461,14.357,0.98622,0.98769,0.99248,0.9771,0,-0.080412,-0.060399,-0.089168,597.84,184.97,367.72,1.4645
22.31,122.83,264.03,3.8097,99.893,116.23,27.141,-45.801,11.04,54.543,-3.7137,-9.7952,18.384,13.519,0.97738,0.97649,0.98458,0.96861,0,-0.014725,0.016947,-0.017618,430.19,369.91,373.32,1.8554
141.62,189.91,42.583,-122.99,100.74,226.14,6.7926,96.785,70.014,-10.251,-34.421,-107.15,-4.557,32.614,0.97392,0.99093,1.0069,0.98737,0,-0.0071515,-0.044866,-0.03412,338.79,392.53,236.15,1.5853
26.028,122.88,33.661,41.415,14.746,20.598,-21.273,28.988,39.539,-10.309,18.675,19.888,3.3606,5.0613,0.99759,0.99026,0.98795,0.98601,0,0.012763,-0.0094373,-0.0020442,349.86,255.15,197.5,3.3799
99.15,78.797,42.063,28.311,-19.207,92.054,24.539,52.453,28.601,6.6017,39.378,-16.814,-18.024,30.233,1.0037,0.98112,1.006,0.98578,0,-0.0085169,-0.020566,-0.020906,354.22,391.37,197.99,3.2764
